
% time 0.2000
% report fiber
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1618   -0.1334   -0.0704    0.8393   -0.5436    0.0053    4.0000    1.0000         0
         1         2    4.0000    0.4089   -0.3989   -0.0259   -0.8380    0.5456   -0.0080    3.9995    0.9990         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1506   -0.0970    0.0640    0.8166   -0.5770    0.0141    3.9998    0.9997         0
         1         2    4.0000    0.4670   -0.4144    0.1001   -0.8218    0.5697    0.0000    4.0000    1.0000         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1725    0.0242    0.0828    0.8119   -0.5837   -0.0089    3.9998    0.9997         0
         1         2    4.0000    0.4725   -0.3216    0.0998   -0.8113    0.5846   -0.0003    4.0000    0.9999         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1904    0.1507    0.0999    0.8210   -0.5709   -0.0007    3.9997    0.9993         0
         1         2    4.0000    0.4812   -0.2012    0.0978   -0.8214    0.5704    0.0002    3.9999    0.9998         0
% end

% time 15.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
